,year,biome,country_of_production,product_type,forest_500_beef,zero_deforestation_brazil_beef,state_of_production,municipality_of_production,logistics_hub,exporter,exporter_group,importer,importer_group,country_of_destination,economic_bloc,volume,fob,cattle_deforestation_5_year_total_exposure,co2_gross_emissions_cattle_deforestation_5_year_total_exposure,co2_net_emissions_cattle_deforestation_5_year_total_exposure,land_use,state_of_production_trase_id,municipality_of_production_trase_id,country_of_production_trase_id,country_of_destination_trase_id
779020,2016,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,RXM IMPORTACAO E EXPORTACAO,RXM IMPORTACAO E EXPORTACAO,KISNER COMPANY,KISNER COMPANY,CHINA (HONG KONG),CHINA (HONG KONG),9.204630395277595,30559.133386031128,5.060705791323622,3003.827117175377,2826.8183928220305,103.85216504753647,BR-12,BR-1200401,BR,HK
881189,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),37.78733094860807,122678.91562483252,22.468346982042355,13529.005656996334,12704.467202032232,569.6180381498302,BR-12,BR-1200401,BR,HK
884016,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,RIO BRANCO,RIO BRANCO,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRIGORIFICO ALL FOOD,FRIGORIFICO ALL FOOD,PARAGUAY,PARAGUAY,29.052617742371385,19875.56684900359,17.274686509614025,10401.714540824774,9767.77189537736,437.9482410131994,BR-12,BR-1200401,BR,PY
885117,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),27.01268597327068,87698.36186159743,6.5478750799208125,3927.43924410016,3687.099273190179,440.4211757996175,BR-12,BR-1200450,BR,HK
885276,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,BUJARI,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),26.68620947189514,86638.43563340705,11.736594925739483,7077.116036422911,6646.421964514101,406.689192009474,BR-12,BR-1200138,BR,HK
889593,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,SENADOR GUIOMARD,RIO BRANCO,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRIGORIFICO ALL FOOD,FRIGORIFICO ALL FOOD,PARAGUAY,PARAGUAY,20.768580899336012,14208.265901687344,5.03430400999905,3019.5938215486217,2834.80952671296,338.6158203010992,BR-12,BR-1200450,BR,PY
889821,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,BUJARI,RIO BRANCO,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRIGORIFICO ALL FOOD,FRIGORIFICO ALL FOOD,PARAGUAY,PARAGUAY,20.517570924346508,14036.544180019746,9.023627692527594,5441.208515209383,5110.0713345471695,312.6811377991849,BR-12,BR-1200138,BR,PY
891604,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,RIO BRANCO,RIO BRANCO,JBS S/A,JBS,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),18.65381664255364,65367.45273467106,11.091559375662392,6678.629703296807,6271.594097247965,281.1934628140085,BR-12,BR-1200401,BR,HK
892267,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,RIO BRANCO,RIO BRANCO,JBS S/A,JBS,ORIENTAL PARTNERS,ORIENTAL PARTNERS,CHINA (HONG KONG),CHINA (HONG KONG),18.0188919113173,66181.6950635053,10.714033130469268,6451.307474787315,6058.1262438364165,271.6224089528209,BR-12,BR-1200401,BR,HK
893477,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,BETTER YIELD GROUP,BETTER YIELD GROUP,CHINA (HONG KONG),CHINA (HONG KONG),16.935231249767313,55043.96006706528,10.069688501111644,6063.32423140044,5693.7890179148935,255.2869694137923,BR-12,BR-1200401,BR,HK
898060,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,BRASILEIA,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),13.751591545393463,44645.395600946205,11.602217786848469,6974.679342022193,6548.872311092321,217.9506045308142,BR-12,BR-1200104,BR,HK
898108,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,SENA MADUREIRA,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),13.72904101174898,44572.183893614216,17.987789533593514,10813.701119369704,10153.551165552562,201.5988696888447,BR-12,BR-1200500,BR,HK
898801,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,SENADOR GUIOMARD,RIO BRANCO,JBS S/A,JBS,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),13.334884431334332,46728.63706610445,3.2323759861554424,1938.790851194334,1820.146383943423,217.4150873486494,BR-12,BR-1200450,BR,HK
899100,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,BUJARI,RIO BRANCO,JBS S/A,JBS,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),13.173718436227553,46163.87271951246,5.793801368252877,3493.637194991456,3281.023918405492,200.76320364014663,BR-12,BR-1200138,BR,HK
899393,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,XAPURI,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),13.032459629620414,42310.68919529318,8.886834221438159,5319.675385852016,4993.530264144987,192.35511142177413,BR-12,BR-1200708,BR,HK
899738,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,SENADOR GUIOMARD,RIO BRANCO,JBS S/A,JBS,ORIENTAL PARTNERS,ORIENTAL PARTNERS,CHINA (HONG KONG),CHINA (HONG KONG),12.881001557074798,47310.70708223916,3.122354777434931,1872.799730786842,1758.1935956330803,210.01487437632608,BR-12,BR-1200450,BR,HK
900009,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,BUJARI,RIO BRANCO,JBS S/A,JBS,ORIENTAL PARTNERS,ORIENTAL PARTNERS,CHINA (HONG KONG),CHINA (HONG KONG),12.725321210191566,46738.90781203345,5.596596268242251,3374.7233716397777,3169.3468675642544,193.92977509541768,BR-12,BR-1200138,BR,HK
901335,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,BETTER YIELD GROUP,BETTER YIELD GROUP,CHINA (HONG KONG),CHINA (HONG KONG),12.106334905126074,39348.775652852935,2.9345755810025604,1760.1690870600523,1652.455393508674,197.384527359313,BR-12,BR-1200450,BR,HK
901649,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,BUJARI,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,BETTER YIELD GROUP,BETTER YIELD GROUP,CHINA (HONG KONG),CHINA (HONG KONG),11.96001721320099,38873.20463332286,5.260015570365796,3171.7666648978693,2978.741555090576,182.26678996800555,BR-12,BR-1200138,BR,HK
901657,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,CAPIXABA,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),11.956200895314192,38816.54840413721,6.514933867856705,3919.103961553608,3679.98831298795,158.28342129310028,BR-12,BR-1200179,BR,HK
904445,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,PORTO ACRE,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),10.845794210060609,35211.544170449924,5.854559714590716,3534.4436858658664,3319.57114929383,153.2924266552883,BR-12,BR-1200807,BR,HK
905319,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,BRASILEIA,RIO BRANCO,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRIGORIFICO ALL FOOD,FRIGORIFICO ALL FOOD,PARAGUAY,PARAGUAY,10.572848689972352,7233.129998315703,8.920312439729674,5362.45052806116,5035.070726655118,167.57033220378187,BR-12,BR-1200104,BR,PY
905381,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,SENA MADUREIRA,RIO BRANCO,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRIGORIFICO ALL FOOD,FRIGORIFICO ALL FOOD,PARAGUAY,PARAGUAY,10.555510814620668,7221.268757320904,13.829830269316,8314.064981953272,7806.511688840889,154.99837515197387,BR-12,BR-1200500,BR,PY
905690,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,PLACIDO DE CASTRO,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),10.470350835628452,33992.643949195706,4.204892895588387,2502.838945959127,2348.5300564488853,214.00736427450568,BR-12,BR-1200385,BR,HK
907255,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,XAPURI,RIO BRANCO,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRIGORIFICO ALL FOOD,FRIGORIFICO ALL FOOD,PARAGUAY,PARAGUAY,10.019947383349018,6854.877443652914,6.832602120705695,4090.008254588132,3839.2530593513934,147.89135360019162,BR-12,BR-1200708,BR,PY
910281,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,CAPIXABA,RIO BRANCO,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRIGORIFICO ALL FOOD,FRIGORIFICO ALL FOOD,PARAGUAY,PARAGUAY,9.19247074462551,6288.781562215296,5.008977308746441,3013.185277427605,2829.342297264616,121.69548942309092,BR-12,BR-1200179,BR,PY
910932,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,RIO BRANCO,RIO BRANCO,JBS S/A,JBS,SUN HING CITY,SUN HING CITY,CHINA (HONG KONG),CHINA (HONG KONG),9.013839174556828,31172.417957954047,5.359628773191489,3227.226642434415,3030.5401647259982,135.8774292312984,BR-12,BR-1200401,BR,HK
913831,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,PORTO ACRE,RIO BRANCO,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRIGORIFICO ALL FOOD,FRIGORIFICO ALL FOOD,PARAGUAY,PARAGUAY,8.338739608940879,5704.724372985552,4.501251640906286,2717.440971871067,2552.237198234574,117.85818586852696,BR-12,BR-1200807,BR,PY
915172,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,PLACIDO DE CASTRO,RIO BRANCO,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRISACRE FRIGORIFICO SANTO AFONSO DO ACRE,FRIGORIFICO ALL FOOD,FRIGORIFICO ALL FOOD,PARAGUAY,PARAGUAY,8.050081676044849,5507.246813729236,3.2329128010996118,1924.2963538907663,1805.65666517372,164.5385898457765,BR-12,BR-1200385,BR,PY
916189,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,RIO BRANCO,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),7.8607661996576255,16322.955867829334,4.6740115823164246,2814.39169461666,2642.8658457570305,118.4956467841879,BR-12,BR-1200401,BR,HK
916662,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,RIO BRANCO,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,RAMAX,RAMAX,CHINA (HONG KONG),CHINA (HONG KONG),7.766296880557417,21429.797320833877,4.61784012517944,2780.568825405348,2611.104344323145,117.07158673918508,BR-12,BR-1200401,BR,HK
1162954,2016,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,RXM IMPORTACAO E EXPORTACAO,RXM IMPORTACAO E EXPORTACAO,KISNER COMPANY,KISNER COMPANY,CHINA (HONG KONG),CHINA (HONG KONG),6.580030505616195,21845.530050662604,1.639085598948994,975.8994583581008,918.3728836597008,120.3827159942672,BR-12,BR-1200450,BR,HK
1163579,2016,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,BUJARI,UNKNOWN,RXM IMPORTACAO E EXPORTACAO,RXM IMPORTACAO E EXPORTACAO,KISNER COMPANY,KISNER COMPANY,CHINA (HONG KONG),CHINA (HONG KONG),6.500503969804704,21581.50402123733,2.829669378055988,1643.0134292248877,1547.0835419912887,84.2023086607595,BR-12,BR-1200138,BR,HK
1168374,2016,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,BETTER YIELD GROUP,BETTER YIELD GROUP,CHINA (HONG KONG),CHINA (HONG KONG),5.935657133235102,19600.354906254062,3.263424291852659,1937.03463250567,1822.8895715707056,66.96964655773431,BR-12,BR-1200401,BR,HK
1180278,2016,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,FULLYTECH INTL LOGISTICS,FULLYTECH INTL LOGISTICS,VIETNAM,VIETNAM,4.843628435688588,13777.490946952586,2.6630269139415854,1580.6634069856475,1487.5184947159817,54.648723319748434,BR-12,BR-1200401,BR,VN
1185661,2016,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,RIO BRANCO,RIO BRANCO,JBS S/A,JBS,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),4.451167547451566,15025.275572466486,2.4472519175888707,1452.5882309175324,1366.9904985130197,50.22074401046463,BR-12,BR-1200401,BR,HK
1188963,2016,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,BETTER YIELD GROUP,BETTER YIELD GROUP,CHINA (HONG KONG),CHINA (HONG KONG),4.243169288753115,14011.527640504057,1.0569734698284008,629.3141965043385,592.2178646804856,77.62946432658339,BR-12,BR-1200450,BR,HK
1189798,2016,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,BUJARI,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,BETTER YIELD GROUP,BETTER YIELD GROUP,CHINA (HONG KONG),CHINA (HONG KONG),4.191886159577919,13842.183706045822,1.824728045264268,1059.5063530397904,997.6454314170512,54.29832731725106,BR-12,BR-1200138,BR,HK
1193221,2016,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,RXM IMPORTACAO E EXPORTACAO,RXM IMPORTACAO E EXPORTACAO,UNKNOWN,UNKNOWN,CHINA (HONG KONG),CHINA (HONG KONG),3.9961555901405177,6726.486326644668,2.197086343459256,1304.1002202841894,1227.2525498235511,45.08702599463718,BR-12,BR-1200401,BR,HK
1204616,2016,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,FULLYTECH INTL LOGISTICS,FULLYTECH INTL LOGISTICS,VIETNAM,VIETNAM,3.462520654936061,9848.989783262768,0.8625138951445729,513.5344021310736,483.26296905322965,63.34737206334845,BR-12,BR-1200450,BR,VN
1205658,2016,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,BUJARI,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,FULLYTECH INTL LOGISTICS,FULLYTECH INTL LOGISTICS,VIETNAM,VIETNAM,3.420672479212898,9729.954462980111,1.4890187302013749,864.5807842642746,814.1008942867861,44.3086445697076,BR-12,BR-1200138,BR,VN
1208546,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),9.281089804835766,21646.40453006453,2.249736168692189,1349.3999213406037,1266.8232810200384,151.32106776024864,BR-12,BR-1200450,BR,HK
1208582,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,BUJARI,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),9.16891814847278,21384.78514037008,4.032490201698329,2431.57417067961,2283.595166897778,139.73134391118856,BR-12,BR-1200138,BR,HK
1208593,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,RXM IMPORTACAO E EXPORTACAO,RXM IMPORTACAO E EXPORTACAO,WONDEROSA INTERNATIONAL CO,WONDEROSA INTERNATIONAL CO,CHINA (HONG KONG),CHINA (HONG KONG),9.12994567400861,32530.405224354803,5.42866569776552,3268.796275654437,3069.5762960747325,137.62765489619431,BR-12,BR-1200401,BR,HK
1209815,2017,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,RIO BRANCO,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,FULLYTECH INTL LOGISTICS,FULLYTECH INTL LOGISTICS,VIETNAM,VIETNAM,7.515335832248651,19686.395470796742,4.468618685855048,2690.7171910871507,2526.728805559569,113.2885214524602,BR-12,BR-1200401,BR,VN
1213106,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,ACRELANDIA,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),7.004471878962025,22740.45276720841,5.74927051825203,3443.2821014645406,3232.273086557997,120.25222614629728,BR-12,BR-1200013,BR,HK
1214607,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,EPITACIOLANDIA,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),6.790195787842129,22044.792135906668,6.0100022918190685,3581.7046965233844,3361.129260472805,118.42738487290202,BR-12,BR-1200252,BR,HK
1214619,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,BRASILEIA,RIO BRANCO,JBS S/A,JBS,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),6.788509820392848,23788.56849118425,5.727465735465446,3443.069047761923,3232.8682719813146,107.59189686037584,BR-12,BR-1200104,BR,HK
1214683,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,SENA MADUREIRA,RIO BRANCO,JBS S/A,JBS,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),6.777377689352208,23749.55883093193,8.879720248589264,5338.21238082257,5012.32759653222,99.5198193711085,BR-12,BR-1200500,BR,HK
1216402,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,BRASILEIA,RIO BRANCO,JBS S/A,JBS,ORIENTAL PARTNERS,ORIENTAL PARTNERS,CHINA (HONG KONG),CHINA (HONG KONG),6.557447574215537,24084.888121176828,5.532518518365649,3325.8764253796803,3122.8303072021554,103.92976393035418,BR-12,BR-1200104,BR,HK
1216495,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,SENA MADUREIRA,RIO BRANCO,JBS S/A,JBS,ORIENTAL PARTNERS,ORIENTAL PARTNERS,CHINA (HONG KONG),CHINA (HONG KONG),6.546694350368234,24045.39254147557,8.577478937852462,5156.514279778501,4841.7217192965245,96.13243780852017,BR-12,BR-1200500,BR,HK
1217305,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,SENADOR GUIOMARD,RIO BRANCO,JBS S/A,JBS,SUN HING CITY,SUN HING CITY,CHINA (HONG KONG),CHINA (HONG KONG),6.443641319018273,22283.94322083693,1.5619386557300292,936.8564761112324,879.5254662035311,105.05864129769148,BR-12,BR-1200450,BR,HK
1217389,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,XAPURI,RIO BRANCO,JBS S/A,JBS,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),6.433508433370223,22544.55838689241,4.387009400715155,2626.071933488718,2465.069524838568,94.95661346390813,BR-12,BR-1200708,BR,HK
1217904,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,BUJARI,RIO BRANCO,JBS S/A,JBS,SUN HING CITY,SUN HING CITY,CHINA (HONG KONG),CHINA (HONG KONG),6.365763188867366,22014.618510706703,2.799662650463868,1688.184483279653,1585.446158021885,97.01216991984698,BR-12,BR-1200138,BR,HK
1219144,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,XAPURI,RIO BRANCO,JBS S/A,JBS,ORIENTAL PARTNERS,ORIENTAL PARTNERS,CHINA (HONG KONG),CHINA (HONG KONG),6.214529460260456,22825.382144825788,4.237687638951605,2536.6876509835506,2381.1653225228565,91.72455090866951,BR-12,BR-1200708,BR,HK
1219597,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,BRASILEIA,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,BETTER YIELD GROUP,BETTER YIELD GROUP,CHINA (HONG KONG),CHINA (HONG KONG),6.163081038730044,20031.63591820483,5.199791472376538,3125.857386190218,2935.022512290773,97.67940196082796,BR-12,BR-1200104,BR,HK
1219691,2017,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,SENA MADUREIRA,UNKNOWN,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,MICHI FOODS PRODUCAO COMERCIO DISTRIBUICAO IMPORTACAO E,BETTER YIELD GROUP,BETTER YIELD GROUP,CHINA (HONG KONG),CHINA (HONG KONG),6.152974516451602,19998.78706007547,8.061627211454889,4846.400222642331,4550.539365398368,90.3510089801157,BR-12,BR-1200500,BR,HK
1221974,2017,AMAZONIA,BRAZIL,BEEF OFFALS,5.0,G4 & TAC,ACRE,CAPIXABA,RIO BRANCO,JBS S/A,JBS,PARKER MIGLIORINI INTL GMBH,PARKER MIGLIORINI INTL GMBH,CHINA (HONG KONG),CHINA (HONG KONG),5.902210440479445,20682.76264268597,3.21611446901725,1934.676116748053,1816.636039485772,78.13703281592383,BR-12,BR-1200179,BR,HK
