,year,biome,country_of_production,product_type,forest_500_beef,zero_deforestation_brazil_beef,state_of_production,municipality_of_production,logistics_hub,exporter,exporter_group,importer,importer_group,country_of_destination,economic_bloc,volume,fob,cattle_deforestation_5_year_total_exposure,co2_gross_emissions_cattle_deforestation_5_year_total_exposure,co2_net_emissions_cattle_deforestation_5_year_total_exposure,land_use,state_of_production_trase_id,municipality_of_production_trase_id,country_of_production_trase_id,country_of_destination_trase_id
5640928,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,SKY REGAL TRADING,SKY REGAL TRADING,CHINA (HONG KONG),CHINA (HONG KONG),1.214481468660903,4051.929027762613,0.3157651818518348,189.49748672551053,177.9085402071076,21.893586736973603,BR-12,BR-1200450,BR,HK
5643394,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,BUJARI,UNKNOWN,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,SKY REGAL TRADING,SKY REGAL TRADING,CHINA (HONG KONG),CHINA (HONG KONG),1.199803192636587,4002.9572367265455,0.667570496382997,402.5684054812036,378.0693841301187,19.25840923243684,BR-12,BR-1200138,BR,HK
5646245,2020,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,MERIDIONAL MEATIMPORTACAO E EXP DE ALIMENTOS,MERIDIONAL MEATIMPORTACAO E EXP DE ALIMENTOS,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),1.1822975680827412,3200.7245017111923,1.0008148913820405,602.6267652918315,565.8982184203139,20.36974301025054,BR-12,BR-1200401,BR,HK
5651018,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,BRASILEIA,UNKNOWN,FRIGORIFICO BETTER BEEF,FRIGORIFICO BETTER BEEF,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),1.1548186050529496,3852.873138339235,1.2244541669376423,736.0359944895715,691.097845219983,22.300396304422204,BR-12,BR-1200104,BR,HK
5651344,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,SENA MADUREIRA,UNKNOWN,FRIGORIFICO BETTER BEEF,FRIGORIFICO BETTER BEEF,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),1.152924876918242,3846.555008176101,1.7557892950587903,1056.399239202942,991.9599619822276,21.33855465695429,BR-12,BR-1200500,BR,HK
5651687,2020,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,RIO GRANDE COMERCIO DE CARNES LTDA,RIO GRANDE COMERCIO DE CARNES LTDA,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),1.1509919651696168,3137.606471195141,0.9743146985160808,586.670042781068,550.9140169862878,19.83038041378052,BR-12,BR-1200401,BR,HK
5654558,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,RIO BRANCO,UNKNOWN,CAJURU INDUSTRIA E COMERCIO DE ALIMENTOS,CAJURU INDUSTRIA E COMERCIO DE ALIMENTOS,G OCEAN INTERNATIONAL CO LTD,G OCEAN INTERNATIONAL CO LTD,CHINA (HONG KONG),CHINA (HONG KONG),1.1341941974052827,3784.063001515876,0.960095388103572,578.1080828098912,542.8738863898172,19.540972550868123,BR-12,BR-1200401,BR,HK
5660245,2020,AMAZONIA,BRAZIL,BEEF BONELESS,4.0,G4,ACRE,RIO BRANCO,UNKNOWN,JBS,JBS,LOONG CHEONG FOOD H K CO LTD,LOONG CHEONG FOOD H K CO LTD,CHINA (HONG KONG),CHINA (HONG KONG),1.1030871988894526,3680.279326338157,0.9337633138599216,562.2525905889848,527.9847455206045,19.00503169917945,BR-12,BR-1200401,BR,HK
5662100,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,XAPURI,UNKNOWN,FRIGORIFICO BETTER BEEF,FRIGORIFICO BETTER BEEF,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),1.0944280013122298,3651.389256851164,1.0869858909033066,652.0072328665631,612.1153322187323,20.22367609833277,BR-12,BR-1200708,BR,HK
5664818,2020,AMAZONIA,BRAZIL,BEEF OFFALS,4.0,G4,ACRE,RIO BRANCO,UNKNOWN,JBS,JBS,MAFCOM COMERCIO GERAL LTD,MAFCOM COMERCIO GERAL LTD,ANGOLA,ANGOLA,1.080962736703843,2926.390115489642,0.9150349566198032,550.9755707923897,517.3950309915903,18.62385049647116,BR-12,BR-1200401,BR,AO
5667466,2020,AMAZONIA,BRAZIL,BEEF OFFALS,3.0,NONE,ACRE,RIO BRANCO,UNKNOWN,MARFRIG GLOBAL FOODS,MARFRIG,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),1.0678870686251718,2904.986150843958,0.903966403591208,544.3107955522128,511.1364566105444,18.39857049451548,BR-12,BR-1200401,BR,HK
5670432,2020,AMAZONIA,BRAZIL,BEEF BONELESS,3.0,NONE,ACRE,RIO BRANCO,UNKNOWN,MARFRIG GLOBAL FOODS,MARFRIG,KAI BO FROZEN MEAT SUPERMARKET OB,KAI BO FROZEN MEAT SUPERMARKET OB,CHINA (HONG KONG),CHINA (HONG KONG),1.0535237270767563,3514.918491004876,0.8918078349704742,536.9896825855847,504.2615465944545,18.15110523364708,BR-12,BR-1200401,BR,HK
5727889,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,RIO BRANCO,UNKNOWN,JA COMERCIO DE GENEROS ALIMENTICIOS E SERVICOS,JA COMERCIO DE GENEROS ALIMENTICIOS E SERVICOS,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),1.0146363946289438,3385.1769385616885,0.858889708053401,517.1684903608086,485.6484049071026,17.481117415266755,BR-12,BR-1200401,BR,HK
5728819,2020,AMAZONIA,BRAZIL,BEEF BONELESS,4.0,G4,ACRE,SENADOR GUIOMARD,UNKNOWN,MINERVA,MINERVA,HOI TAT TRADING,HOI TAT TRADING,CHINA (HONG KONG),CHINA (HONG KONG),1.0098869721588706,3369.331227228755,0.2625706127613063,157.57428008510402,147.93763563067242,18.20533996609977,BR-12,BR-1200450,BR,HK
5730065,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,CAPIXABA,UNKNOWN,FRIGORIFICO BETTER BEEF,FRIGORIFICO BETTER BEEF,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),1.0040469275198,3349.846824208123,0.7177931484839051,431.90745305163887,405.56296855329606,15.542567590844609,BR-12,BR-1200179,BR,HK
